Review_ID,Review_Text,cleaned,tokens,tokens_nostop,stems,lemmas,final_text
1,"""The product is GREAT! Loved it, but its a bit pricey.""",the product is great loved it but it s a bit pricey,"['the', 'product', 'is', 'great', 'loved', 'it', 'but', 'it', 's', 'a', 'bit', 'pricey']","['product', 'great', 'loved', 'bit', 'pricey']","['product', 'great', 'love', 'bit', 'pricey']","['product', 'great', 'loved', 'bit', 'pricey']",product great loved bit pricey
2,"""Worst product ever!! Wouldnt recommend to anyone.""",worst product ever wouldn t recommend to anyone,"['worst', 'product', 'ever', 'wouldn', 't', 'recommend', 'to', 'anyone']","['worst', 'product', 'ever', 'recommend', 'anyone']","['worst', 'product', 'ever', 'recommend', 'anyon']","['bad', 'product', 'ever', 'recommend', 'anyone']",bad product ever recommend anyone
3,"""Satisfactory quality, works as expected, no major issues.""",satisfactory quality works as expected no major issues,"['satisfactory', 'quality', 'works', 'as', 'expected', 'no', 'major', 'issues']","['satisfactory', 'quality', 'works', 'expected', 'major', 'issues']","['satisfactori', 'qualiti', 'work', 'expect', 'major', 'issu']","['satisfactory', 'quality', 'work', 'expect', 'major', 'issue']",satisfactory quality work expect major issue
4,"""Amazing product, I would buy it again and again!""",amazing product i would buy it again and again,"['amazing', 'product', 'i', 'would', 'buy', 'it', 'again', 'and', 'again']","['amazing', 'product', 'would', 'buy']","['amaz', 'product', 'would', 'buy']","['amazing', 'product', 'would', 'buy']",amazing product would buy
5,"""The delivery was slow, but the product is good.""",the delivery was slow but the product is good,"['the', 'delivery', 'was', 'slow', 'but', 'the', 'product', 'is', 'good']","['delivery', 'slow', 'product', 'good']","['deliveri', 'slow', 'product', 'good']","['delivery', 'slow', 'product', 'good']",delivery slow product good
6,"""Horrible experience, the product broke after just one use.""",horrible experience the product broke after just one use,"['horrible', 'experience', 'the', 'product', 'broke', 'after', 'just', 'one', 'use']","['horrible', 'experience', 'product', 'broke', 'one', 'use']","['horribl', 'experi', 'product', 'broke', 'one', 'use']","['horrible', 'experience', 'product', 'break', 'one', 'use']",horrible experience product break one use
7,"""Great value for the price! Definitely worth buying.""",great value for the price definitely worth buying,"['great', 'value', 'for', 'the', 'price', 'definitely', 'worth', 'buying']","['great', 'value', 'price', 'definitely', 'worth', 'buying']","['great', 'valu', 'price', 'definit', 'worth', 'buy']","['great', 'value', 'price', 'definitely', 'worth', 'buying']",great value price definitely worth buying
8,"""The product didnt meet my expectations, returning it.""",the product didn t meet my expectations returning it,"['the', 'product', 'didn', 't', 'meet', 'my', 'expectations', 'returning', 'it']","['product', 'meet', 'expectations', 'returning']","['product', 'meet', 'expect', 'return']","['product', 'meet', 'expectation', 'return']",product meet expectation return
9,"""Im satisfied with the purchase, but there are better options available.""",i m satisfied with the purchase but there are better options available,"['i', 'm', 'satisfied', 'with', 'the', 'purchase', 'but', 'there', 'are', 'better', 'options', 'available']","['satisfied', 'purchase', 'better', 'options', 'available']","['satisfi', 'purchas', 'better', 'option', 'avail']","['satisfied', 'purchase', 'well', 'option', 'available']",satisfied purchase well option available
10,"""Superb product! Excellent build quality and great customer service.""",superb product excellent build quality and great customer service,"['superb', 'product', 'excellent', 'build', 'quality', 'and', 'great', 'customer', 'service']","['superb', 'product', 'excellent', 'build', 'quality', 'great', 'customer', 'service']","['superb', 'product', 'excel', 'build', 'qualiti', 'great', 'custom', 'servic']","['superb', 'product', 'excellent', 'build', 'quality', 'great', 'customer', 'service']",superb product excellent build quality great customer service
